Date,FundName,Class,NAV,AdjustedNAV,Dividend,DivYield,SharesOustanding,AUM
2021-06-17,Black Diamond Distressed Opportunities Fund,F,26.74414797,26.717203332597876,0.0,0.0,2495788.79,66747744.701627254
2021-06-18,Black Diamond Distressed Opportunities Fund,F,26.66382936,26.636965643322124,0.0,0.0,2514850.775,67055551.93046375
2021-06-21,Black Diamond Distressed Opportunities Fund,F,26.70098528,26.674084128860095,0.0,0.0,2524852.045,67416037.2877229
2021-06-22,Black Diamond Distressed Opportunities Fund,F,26.70745986,26.68055218574294,0.0,0.0,2552626.286,68174164.07092588
2021-06-23,Black Diamond Distressed Opportunities Fund,F,26.8687135,26.841643363253407,0.0,0.0,2559878.74,68780648.45980099
2021-06-24,Black Diamond Distressed Opportunities Fund,F,27.2626473,27.235180276300298,0.0,0.0,2569620.558,70054658.9675832
2021-06-25,Black Diamond Distressed Opportunities Fund,F,27.12435831,27.104523055759383,0.0075,0.0,2813693.67,76319635.2796589
2021-06-28,Black Diamond Distressed Opportunities Fund,F,26.74761395,26.728054197951135,0.0,0.0,2817413.673,75359093.26285554
2021-06-29,Black Diamond Distressed Opportunities Fund,F,26.60933199,26.589873359526145,0.0,0.0,2815666.035,74922992.29828197
2021-06-30,Black Diamond Distressed Opportunities Fund,F,26.53538042,26.515975868158186,0.0,0.0,2816110.452,74726562.14855815
2021-07-02,Black Diamond Distressed Opportunities Fund,F,26.16227376,26.143142050205746,0.0,0.0,2826009.112,73934824.03639852
2021-07-05,Black Diamond Distressed Opportunities Fund,F,26.28478031,26.26555901472919,0.0,0.0,2831197.873,74417414.10594428
2021-07-06,Black Diamond Distressed Opportunities Fund,F,26.07902966,26.059958824194677,0.0,0.0,2829027.58,73778294.16777803
2021-07-07,Black Diamond Distressed Opportunities Fund,F,25.50325922,25.484609428369478,0.0,0.0,2833824.334,72271756.57394585
2021-07-08,Black Diamond Distressed Opportunities Fund,F,25.03489532,25.01658802926581,0.0,0.0,2834569.335,70963146.57900701
2021-07-09,Black Diamond Distressed Opportunities Fund,F,25.56679208,25.548095828637,0.0,0.0,2840600.916,72625053.00162955
2021-07-12,Black Diamond Distressed Opportunities Fund,F,25.27108048,25.25260047392844,0.0,0.0,2840792.571,71789897.68872711
2021-07-13,Black Diamond Distressed Opportunities Fund,F,25.24450771,25.226047135822196,0.0,0.0,2845758.666,71839776.58463632
2021-07-14,Black Diamond Distressed Opportunities Fund,F,25.27903698,25.260551155571427,0.0,0.0,2849952.89,72044064.49756788
2021-07-15,Black Diamond Distressed Opportunities Fund,F,24.83957686,24.821412399974196,0.0,0.0,2852067.409,70844147.61575656
2021-07-16,Black Diamond Distressed Opportunities Fund,F,24.38798715,24.37015292439331,0.0,0.0,2855473.259,69639245.14766063
2021-07-19,Black Diamond Distressed Opportunities Fund,F,23.59209303,23.57484081861235,0.0,0.0,2872239.883,67762150.52421232
2021-07-20,Black Diamond Distressed Opportunities Fund,F,24.00025052,23.982699834912374,0.0,0.0,2872000.006,68928719.63744152
2021-07-21,Black Diamond Distressed Opportunities Fund,F,24.77715117,24.759032360065458,0.0,0.0,2873220.154,71190210.10034868
2021-07-22,Black Diamond Distressed Opportunities Fund,F,24.56947667,24.551509726386488,0.0,0.0,2884817.418,70878454.24876064
2021-07-23,Black Diamond Distressed Opportunities Fund,F,21.49200749,21.476291010080608,0.0,0.0,2887699.524,62062459.79867744
2021-07-26,Black Diamond Distressed Opportunities Fund,F,20.82837913,20.8131479421967,0.0,0.0,2889165.185,60176627.84237658
2021-07-27,Black Diamond Distressed Opportunities Fund,F,21.09559834,21.08766625802944,0.0075,0.0,2892165.895,61011970.05356661
2021-07-28,Black Diamond Distressed Opportunities Fund,F,21.70717051,21.699008472921978,0.0,0.0,2892970.72,62798208.69947747
2021-07-29,Black Diamond Distressed Opportunities Fund,F,21.46560256,21.45753135403992,0.0,0.0,2890960.064,62056199.75065616
2021-07-30,Black Diamond Distressed Opportunities Fund,F,21.06232763,21.05440805803246,0.0,0.0,2899198.873,61063876.52765276
2021-08-03,Black Diamond Distressed Opportunities Fund,F,20.92066776,20.912801453063523,0.0,0.0,2899276.082,60654791.65603652
2021-08-04,Black Diamond Distressed Opportunities Fund,F,20.57369197,20.56595612821382,0.0,0.0,2899299.982,59649304.75829454
2021-08-05,Black Diamond Distressed Opportunities Fund,F,20.86369786,20.855852974115884,0.0,0.0,2894238.661,60384520.95783496
2021-08-06,Black Diamond Distressed Opportunities Fund,F,20.86263131,20.854786825145613,0.0,0.0,2894286.804,60382438.49725024
2021-08-09,Black Diamond Distressed Opportunities Fund,F,20.89209441,20.884238846828676,0.0,0.0,2883040.701,60232758.51316457
2021-08-10,Black Diamond Distressed Opportunities Fund,F,20.68532124,20.677543424883382,0.0,0.0,2883822.015,59652784.7792591
2021-08-11,Black Diamond Distressed Opportunities Fund,F,20.64863536,20.6408713390125,0.0,0.0,2885750.132,59586802.21573987
2021-08-12,Black Diamond Distressed Opportunities Fund,F,20.29901641,20.29138384800812,0.0,0.0,2887048.041,58604235.56071736
2021-08-13,Black Diamond Distressed Opportunities Fund,F,20.07379653,20.066248652145575,0.0,0.0,2887077.599,57954608.28864693
