Ticker,Name,RISK_UNITS,CurrentWeight,WEIGHT_USD,VolatilityHist,ImpliedVol,DeltaOption
SPY US U1721C430000 Equity,SPDR S&P 500 ETF Trust,120000.0,1.4,0.006131943545467746,0.10177619290191031,0.12213143148229237,-0.21580417462246304
SPY US U0721C425000 Equity,SPDR S&P 500 ETF Trust,60000.0,0.3,0.0014596183990210694,0.10177619290191031,0.12213143148229237,-0.07655665073907159
SPY US T2021C430000 Equity,SPDR S&P 500 ETF Trust,80000.0,0.1,0.0002780226992964467,0.10177619290191031,0.12213143148229237,-0.002400877543538571
UBER US H2021D650000 Equity,Uber Technologies Inc,-11800.0,-0.0,-3.0376554182389548e-06,0.3268134068276544,0.3921760881931853,4.5153566290405474e-82
COIN US H2021C290000 Equity,Coinbase Global Inc,-1000.0,-0.0,-1.930713189558658e-06,0.5933746412658223,0.7120495695189867,5.4044652202851695e-05
RH US H2021C780000 Equity,RH,-1000.0,-0.0,-7.722852758234632e-06,0.2613550657210597,0.31362607886527166,5.402806533457223e-12
TAL US H2021D600000 Equity,TAL Education Group,-17600.0,-0.0,-1.132685071207746e-05,1.3631990196241952,1.6358388235490342,9.63838854098606e-128
V US I1721C255000 Equity,Visa Inc,-1700.0,-0.0,-1.291003552751556e-05,0.1530777463117893,0.18369329557414715,0.016319797918688372
GOOGL US U1721B230000 Equity,Alphabet Inc,-300.0,-0.0,-1.505956673998391e-05,0.18837465722338995,0.22604958866806793,-0.0010233419480700778
WDAY US I1721C280000 Equity,Workday Inc,-1800.0,-0.0,-1.2742707051087142e-05,0.2562113630671117,0.307453635680534,0.005718225581565779
ROP US H2021C490000 Equity,Roper Technologies Inc,-700.0,-0.0,-1.1712993349989191e-05,0.13461599515490996,0.16153919418589194,0.007774346500770072
AVGO US I1721C520000 Equity,Broadcom Inc,-800.0,-0.0,-2.8831983630742625e-05,0.18047155309778665,0.21656586371734396,0.025979789083434027
TCOM US I1721D450000 Equity,Trip.com Group Ltd,-10300.0,-0.0,-6.628781950818058e-06,0.5441221109006229,0.6529465330807475,0.00013896857277123647
CRM US I1721C290000 Equity,salesforce.com Inc,-3100.0,-0.0,-2.952704037898374e-05,0.20490945675973338,0.24589134811168004,0.008413720511112974
ABNB US V1521C110000 Equity,Airbnb Inc,-6000.0,-0.0,-5.174311348017203e-05,0.28048571803017525,0.33658286163621026,-0.003936072579862726
PEP US I1721C155000 Equity,PepsiCo Inc,-1300.0,-0.0,-6.609474818922472e-05,0.11400493688823944,0.13680592426588734,0.6219920875570735
FB US I1721C380000 Equity,Facebook Inc,-2100.0,-0.0,-7.054825994647335e-05,0.2605312127588047,0.31263745531056564,0.20098511412073816
AMT US J1521C300000 Equity,American Tower Corp,-1600.0,-0.0,-7.002055226893468e-05,0.12555196018795098,0.15066235222554117,0.14462457915017174
JKHY US I1721C185000 Equity,Jack Henry & Associates Inc,-2500.0,-0.0,-7.401067226641522e-05,0.22585763446479448,0.27102916135775335,0.14981880364700872
WDAY US U1721C200000 Equity,Workday Inc,-4000.0,-0.0,-7.568390554501433e-05,0.2562113630671117,0.307453635680534,-0.020100458707715152
SPY US T2021C420000 Equity,SPDR S&P 500 ETF Trust,-80000.0,-0.0,-0.00011326850712077459,0.10177619290191031,0.12213143148229237,-1.3961934941519871e-09
CBOE US I1721C130000 Equity,Cboe Global Markets Inc,-4400.0,-0.0,-9.910994373067777e-05,0.24492303309921934,0.2939076397190632,0.2188252932136463
MSFT US I1721C285000 Equity,Microsoft Corp,-1700.0,-0.1,-0.00024178964843906258,0.1077672862096718,0.12932074345160616,0.7595825351862309
MELI US I1721B170000 Equity,MercadoLibre Inc,-200.0,-0.1,-0.0002939832539406122,0.6382462834648822,0.7658955401578587,0.6417365439527287
INTU US I1721C480000 Equity,Intuit Inc,-400.0,-0.1,-0.00029501291358174084,0.14433733901225282,0.17320480681470338,0.9951253444574694
AAPL US I1721C145000 Equity,Apple Inc,-3600.0,-0.1,-0.000345211518293088,0.20905649281329877,0.2508677913759585,0.5827928384174217
SPOT US V1521C200000 Equity,Spotify Technology SA,-4000.0,-0.1,-0.0004788168710105471,0.30668239683203447,0.36801887619844137,-0.38134689724784854
SPY US U0721C400000 Equity,SPDR S&P 500 ETF Trust,-60000.0,-0.1,-0.000501985429285251,0.10177619290191031,0.12213143148229237,-3.544078724659894e-05
SPY US U1721C410000 Equity,SPDR S&P 500 ETF Trust,-120000.0,-0.7,-0.00293468404812916,0.10177619290191031,0.12213143148229237,-0.007786938164786372
DB1 GR Equity,,4198.0,2.2,0.009403169561969073,0.1723674995847418,0.20684099950169013,0.9999999999022413
MTX GR Equity,,2974.0,2.1,,0.3448933033939797,0.41387196407277566,0.9999733738972253
AMS SM Equity,,10845.0,1.9,0.008337519339306418,0.3291204414368833,0.3949445297242599,0.9996299235625236
AENA SM Equity,,4023.0,1.9,0.008198874593035617,0.22157749637392657,0.2658929956487119,0.9999998396599868
AC* MM Equity,,83400.0,1.5,,0.1535642022454884,0.18427704269458606,0.9999999999951108
700 HK Equity,,8600.0,1.4,0.006183240699530392,0.4465223085112922,0.5358267702135506,0.998993800316408
HEIA NA Equity,,4108.0,1.3,0.005848402289430072,0.15258090145127623,0.18309708174153147,0.9999999999657138
SWMA SS Equity,,47002.0,1.2,0.005437936104752812,0.14289777277266363,0.17147732732719637,0.9999999999885563
CSU CN Equity,,199.0,1.0,0.004203206962771146,0.09633106595293056,0.11559727914351667,1.0
8697 JP Equity,,11900.0,0.8,0.003523670288846363,0.2747783096031999,0.3297339715238398,0.9999999998942997
AC FP Equity,,7279.0,0.7,0.003094151712961874,0.23022081013363738,0.27626497216036483,0.9998947908917977
