Ticker,Name,RISK_UNITS,CurrentWeight,WEIGHT_USD,VolatilityHist,ImpliedVol,DeltaOption
AMT US J1521C300000 Equity,American Tower Corp,-1100.0,-0.0,-4.813912968489259e-05,0.12555196018795098,0.15066235222554117,0.14462457915017174
PEP US I1721C155000 Equity,PepsiCo Inc,-1100.0,-0.0,-5.592632539088245e-05,0.11400493688823944,0.13680592426588734,0.6219920875570735
FB US I1721C380000 Equity,Facebook Inc,-1900.0,-0.0,-6.382937804680923e-05,0.2605312127588047,0.31263745531056564,0.20098511412073816
JKHY US I1721C185000 Equity,Jack Henry & Associates Inc,-2300.0,-0.0,-6.808981848510199e-05,0.22585763446479448,0.27102916135775335,0.14981880364700872
GOOGL US I1721B270000 Equity,Alphabet Inc,-100.0,-0.0,-0.00010181294991891263,0.18837465722338995,0.22604958866806793,0.5455230428498841
CBOE US I1721C130000 Equity,Cboe Global Markets Inc,-3900.0,-0.0,-8.784745012491893e-05,0.24492303309921934,0.2939076397190632,0.2188252932136463
MSFT US I1721C285000 Equity,Microsoft Corp,-1700.0,-0.1,-0.00024178964843906258,0.1077672862096718,0.12932074345160616,0.7595825351862309
AAPL US I1721C145000 Equity,Apple Inc,-2900.0,-0.1,-0.0002780870564027653,0.20905649281329877,0.2508677913759585,0.5827928384174217
MELI US I1721B170000 Equity,MercadoLibre Inc,-200.0,-0.1,-0.0002939832539406122,0.6382462834648822,0.7658955401578587,0.6417365439527287
SPY US U0721C400000 Equity,SPDR S&P 500 ETF Trust,-50000.0,-0.1,-0.00041832119107104254,0.10177619290191031,0.12213143148229237,-3.544078724659894e-05
INTU US I1721C480000 Equity,Intuit Inc,-600.0,-0.2,-0.00044251937037261127,0.14433733901225282,0.17320480681470338,0.9951253444574694
SPY US U1721C415000 Equity,SPDR S&P 500 ETF Trust,-20000.0,-0.2,-0.0005843625253730871,0.10177619290191031,0.12213143148229237,-0.022571043604079577
COIN US U1721C285000 Equity,Coinbase Global Inc,-3000.0,-0.5,-0.0014905108140248666,0.5933746412658223,0.7120495695189867,-0.7911374813626844
SPY US U1721C410000 Equity,SPDR S&P 500 ETF Trust,-100000.0,-0.9,-0.002445570040107633,0.10177619290191031,0.12213143148229237,-0.007786938164786372
DB1 GR Equity,,3630.0,2.8,0.008130896977119518,0.1723674995847418,0.20684099950169013,0.9999999999022413
MTX GR Equity,,2778.0,2.9,,0.3448933033939797,0.41387196407277566,0.9999733738972253
AMS SM Equity,,8784.0,2.3,0.006753044709678891,0.3291204414368833,0.3949445297242599,0.9996299235625236
AENA SM Equity,,2789.0,2.0,0.0056839824111300855,0.22157749637392657,0.2658929956487119,0.9999998396599868
AC* MM Equity,,76700.0,2.1,,0.1535642022454884,0.18427704269458606,0.9999999999951108
700 HK Equity,,6900.0,1.7,0.004960972189158105,0.4465223085112922,0.5358267702135506,0.998993800316408
HEIA NA Equity,,2630.0,1.3,0.0037442302875367794,0.15258090145127623,0.18309708174153147,0.9999999999657138
SWMA SS Equity,,45280.0,1.8,0.005238707859733785,0.14289777277266363,0.17147732732719637,0.9999999999885563
CSU CN Equity,,239.0,1.8,0.005048072683931175,0.09633106595293056,0.11559727914351667,1.0
8697 JP Equity,,9300.0,1.0,0.002753792746745477,0.2747783096031999,0.3297339715238398,0.9999999998942997
AC FP Equity,,8438.0,1.2,0.0035868185401802845,0.23022081013363738,0.27626497216036483,0.9998947908917977
RI FP Equity,,344.0,0.3,0.000955583266208692,0.09604080882859654,0.11524897059431585,1.0
