,Portfolio,AssetType,AssetNumber,Ticker,Name,Units,CurrentMarketValue,AverageCost,LastPrice,CurrentWeight,PostTradeMarketValue,PostTradeWeight,IndicativeYield,OptPC,OptStrike,OptExpiryYYYYMMDD
51,BDIN_Portfolio,EQ,52,GRMN US Equity,Garmin Ltd,59.0,12934.3638,118.7198,173.100006,0.0,12934.0,0.0,1.5,,0.0,
52,BDIN_Portfolio,FI,1,ZO760437     Corp,CAN 0 1/2 12/01/30,1617.0,1524547.4614,98.3289,94.139999,3.5,1524547.0,3.5,0.0,,0.0,
53,BDIN_Portfolio,FI,2,BH518546     Corp,CAN 0 1/2 09/01/25,780.0,773451.3973,100.53,99.143997,1.8,773451.0,1.8,0.0,,0.0,
54,BDIN_Portfolio,OP,1,SPY US V1521C440000 Equity,SPDR S&P 500 ETF Trust,1000.0,730712.7372,5.471,5.77,1.7,730713.0,1.7,0.0,P,440.0,20211015
55,BDIN_Portfolio,OP,2,SPY US U1721C430000 Equity,SPDR S&P 500 ETF Trust,1200.0,110936.6429,5.5228,0.73,0.3,110937.0,0.3,0.0,P,430.0,20210917
56,BDIN_Portfolio,OP,3,SPY US U0721C425000 Equity,SPDR S&P 500 ETF Trust,600.0,2279.52,4.7325,0.03,0.0,2280.0,0.0,0.0,P,425.0,20210907
57,BDIN_Portfolio,OP,4,V US I1721C255000 Equity,Visa Inc,-17.0,-107.644,2.5,0.03,-0.0,-108.0,-0.0,0.0,C,255.0,20210917
58,BDIN_Portfolio,OP,5,GOOGL US U1721B230000 Equity,Alphabet Inc,-3.0,-341.928,41.8,0.05,-0.0,-342.0,-0.0,0.0,P,2300.0,20210917
59,BDIN_Portfolio,OP,6,AVGO US I1721C520000 Equity,Broadcom Inc,-8.0,-354.592,6.9,0.2,-0.0,-355.0,-0.0,0.0,C,520.0,20210917
60,BDIN_Portfolio,OP,7,TCOM US I1721D450000 Equity,Trip.com Group Ltd,-103.0,-652.196,0.7,0.05,-0.0,-652.0,-0.0,0.0,C,45.0,20210917
61,BDIN_Portfolio,OP,8,CRM US I1721C290000 Equity,salesforce.com Inc,-31.0,-745.9096,2.08,0.11,-0.0,-746.0,-0.0,0.0,C,290.0,20210917
62,BDIN_Portfolio,OP,9,SPY US U0721C400000 Equity,SPDR S&P 500 ETF Trust,-600.0,-759.84,1.923,0.01,-0.0,-760.0,-0.0,0.0,P,400.0,20210907
63,BDIN_Portfolio,OP,10,ABNB US V1521C110000 Equity,Airbnb Inc,-60.0,-911.808,3.5,0.09,-0.0,-912.0,-0.0,0.0,P,110.0,20211015
64,BDIN_Portfolio,OP,11,WDAY US U1721C200000 Equity,Workday Inc,-40.0,-1013.1199,3.7,0.01,-0.0,-1013.0,-0.0,0.0,P,200.0,20210917
65,BDIN_Portfolio,OP,12,PEP US I1721C155000 Equity,PepsiCo Inc,-7.0,-1551.34,1.84,1.68,-0.0,-1551.0,-0.0,0.0,C,155.0,20210917
