,Symbol,LastStockPrice,LastStockPriceDate,ZoneYYYYMMDD,MMRatio,StdevRatio,ZoneNum,ZoneLabel,BDPos,OptionTicker,Strike,OptionBid,ImpliedYield,StrikeRatio,LongName,Currency,ShareOut,MarketCap,MarketCapUSD,Exchange,MarketCapComma,MarketCapLabel,BDPosDetails,BDPosUSDValue,ExchangeRate,BDCallOptPos,BDCallOptDets,OptionExpiry,BDEQPos,BDEQPosUSDValue,BDEQCallOptPos,MaxBTStrikeRatio,BTStrikeCount
147,SPGI,437.52,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.84,0.76,3.0,pHvH,0,SPGI211119C00480000,480.0,4.7,0.039167,0.097093,S&P Global Inc.,USD,241000000.0,105442320384.0,105442.320384,NYQ,"105,442.32 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,18.757004,20.0
148,SPOT,216.64,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.16,0.66,8.0,pLv-,0,SPOT211119C00280000,280.0,3.1,0.044286,0.292467,Spotify Technology S.A.,USD,191356000.0,41455362048.0,41455.362048,NYQ,"41,455.36 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,16.163295,8.0
149,SPLK,144.33,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.88,0.0,1.0,pHvL,0,SPLK211119C00180000,180.0,2.18,0.048444,0.247142,Splunk Inc.,USD,163916992.0,23658139648.0,23658.139648,NMS,"23,658.14 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,,
150,SQ,263.05,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.7,0.09,4.0,p-vL,0,SQ211119C00340000,340.0,3.45,0.040588,0.29253,Square Inc.,USD,397396000.0,120923545600.0,120923.5456,NYQ,"120,923.55 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,18.845506,14.0
151,STZ,213.83,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.08,0.86,9.0,pLvH,0,STZ211015C00290000,290.0,0.25,0.003448,0.356218,Constellation Brands Inc.,USD,168251008.0,41152655360.0,41152.65536,NYQ,"41,152.66 MM",Large Cap,,0.0,1.0,0,,2021-10-15,0,0.0,0,16.604476,23.0
152,SWKS,178.88,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.39,0.0,4.0,p-vL,0,SWKS211119C00210000,210.0,2.07,0.039429,0.173971,Skyworks Solutions Inc.,USD,165144992.0,29541136384.0,29541.136384,NMS,"29,541.14 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,19.637672,24.0
153,SWMA.ST,80.46,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,1.0,0.08,1.0,pHvL,92282,,,,,,Swedish Match AB (publ),SEK,1565229952.0,125938401280.0,14316.485571,STO,"125,938.40 MM",Large Cap,"IN(47,002) EQ(45,280)",844063.78,8.7967,0,,,45280,414156.69,0,,
154,SYK,265.28,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.74,0.0,4.0,p-vL,0,SYK211217C00300000,300.0,2.6,0.026,0.130881,Stryker Corporation,USD,377096000.0,100036026368.0,100036.026368,NYQ,"100,036.03 MM",Large Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,18.381399,26.0
155,TCOM,26.29,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.17,0.96,9.0,pLvH,10338,TCOM211217C00033000,33.0,0.75,0.068182,0.25523,Trip.com Group Limited,USD,637456000.0,16758718464.0,16758.718464,NMS,"16,758.72 MM",Large Cap,"IN(10,338)",271786.03,1.0,-10300,IN(-103),2021-12-17,0,0.0,0,18.926266,4.0
156,TOD.MI,49.06,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.05,0.0,7.0,pLvL,0,,,,,,TOD'S S.p.A.,EUR,33093500.0,1623567104.0,1900.46483,MIL,"1,623.57 MM",Small Cap,,0.0,0.8543,0,,,0,0.0,0,,
